Salesforce_ID,Prediction_Date,Predicted_Status,Hire_Probability
a00NS00002BTjQcYAL,2025-10-12 23:38:20.046523,Reject,0.1517
a00NS00002BWFpNYAX,2025-10-12 23:39:34.732836,Reject,0.1517
a00NS00002BVgUMYA1,2025-10-12 23:41:41.725162,Reject,0.1517
a00NS00002BWJg5YAH,2025-10-12 23:42:33.974022,Reject,0.1517
a00NS00002BWK5tYAH,2025-10-12 23:44:23.259383,Reject,0.1517
a00NS00002BWKAjYAP,2025-10-12 23:45:18.101011,Reject,0.1517
a00NS00002C21UlYAJ,2025-10-13 23:26:34.125659,Reject,0.1517
a00NS00002C25YLYAZ,2025-10-13 23:30:24.051856,Reject,0.1517
a00NS00002C25rhYAB,2025-10-13 23:31:20.691263,Reject,0.1517
a00NS00002C262zYAB,2025-10-13 23:32:06.228858,Reject,0.1517
a00NS00002C26arYAB,2025-10-13 23:35:39.221839,Reject,0.1517
a00NS00002CBeLaYAL,2025-10-14 13:59:11.511647,Reject,0.1517
a00NS00002CCzCfYAL,2025-10-14 14:01:54.211748,Reject,0.1517
a00NS00002CD2DlYAL,2025-10-14 14:03:24.950691,Reject,0.1517
a00NS00002CCizzYAD,2025-10-14 14:04:50.763266,Reject,0.1517
a00NS00002CGhDxYAL,2025-10-14 18:28:00.592713,Reject,0.1517
a00NS00002CGhU5YAL,2025-10-14 18:29:18.288610,Reject,0.1517
a00NS00002CGktNYAT,2025-10-14 18:33:18.113387,Reject,0.1517
a00NS00002CGuXlYAL,2025-10-14 18:43:50.398969,Reject,0.1517
a00NS00002CH0V7YAL,2025-10-14 18:47:08.399723,Reject,0.1517
a00NS00002CGrQEYA1,2025-10-14 18:59:34.999489,Reject,0.1517
